name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
CENNZnet Bridge,-,Bridge,Ethereum,14.104048860612691,1.038584481326339,-7.132288315882278,0.0
Zkfair,ZKF,Canonical Bridge,Ethereum,14.09040980332321,3.8650456293156594,2.7909623765395253,0.0
CIAN Curating,-,Risk Curators,Ethereum,14.009675351315181,-0.8244305746264615,-4.636090183982873,0.0
Radiate Protocol,RADT,Yield,Arbitrum,13.38119796688762,5.827341360717568,8.441856012028822,0.0
MOKEE,-,Token Locker,"Binance, Base, Ethereum, Polygon, Arbitrum, Optimism",13.298367500561103,1.0590422844654341,-5.724388368772907,0.0
Meso Finance Fantom Farm,fMESO,Yield,Fantom,13.259565491749568,-7.190855007128064,-22.9898483604899,0.0
Mining Tycoon,-,Ponzi,Solana,12.972575670492219,5.5998595420800825,3.256840430348376,0.0
weBribe DAO,vBRB,Governance Incentives,Fantom,12.794140740291608,-2.227120462382487,-9.641688338605164,0.0
FlatCoin DEX,FLAT,Farm,Tron,12.486241366400863,0.01843361658838205,-0.05038713397496508,0.0
Doge Compounder,-,Yield Aggregator,Dogechain,12.482290740792678,-0.050496208468231885,-9.851173471327314,0.0
BastilleDeLaBouje,BASTILLE,Yield,Fantom,12.299653261678436,-7.76317094581178,-24.377689343323112,0.0
OpenDelta Perpetual Bond,OPB,Basis Trading,Solana,12.29741232557116,0,0,0.0
Creditum,CREDIT,Algo-Stables,Fantom,12.293780952271938,-7.777777777777786,-25.671709187217203,0.0
Stout,STTX,CDP,Sonic,12.182558561107703,-3.1684854961937816,-20.217866572584768,0.0
Interest DEX,-,Dexs,Movement,12.017516620950474,-2.239280374311477,-4.060260128293237,0.0
Untangled old,-,RWA,Celo,12.017196057988,,,0.0
Harbor Market,HBR,Lending,Binance,11.991759922334534,0.6811109899547603,-3.525763461303171,0.0
Nearlend DAO,NELD,Lending,Near,11.874436812698024,-1.0543770000404749,-16.635052643699993,0.0
StackFi,-,Lending,"Base, Avalanche",11.835162904884813,0.0412847869831694,0.045047010959592626,0.0
Tea-Fi,TEA,Yield,"Ethereum, Polygon",11.802648849098235,3.954259932986929,1.6307998931509076,0.0
Wise Lending V1,-,Lending,Ethereum,11.724816202107839,,,0.0
Energyfi,EFT,Dexs,Moonbeam,11.622686572246547,1.2676951066931963,-5.306682101090843,0.0
KuraSwap Legacy,KURA,Dexs,Sei,11.42516220148961,-4.025531262207082,-1.63549624377886,0.0
Flooring Protocol,FLC,NFT Marketplace,Ethereum,11.352779651077705,9.68250669487611,14.070233596719348,0.0
Snake Finance,SNAKE,Algo-Stables,Sonic,11.345780179854797,0.3180072242123515,-10.737696708301186,0.0
Ostrich,-,Derivatives,Arbitrum,11.28511163152078,0.020320644239717467,0.0012665605009232195,0.0
Micro Credit Project,-,Uncollateralized Lending,HAQQ,10.993027499493712,-0.007690377486909483,-0.04798641474417309,0.0
Elixir,ELX,Yield,"Ethereum, Sei, Arbitrum",10.965252842256836,-1.2663425612512782,-7.615799577581569,0.0
Coffer City,-,Services,Kava,10.956967937961359,0.03815674624006249,-0.044036270678446954,0.0
Jupiter Swap,-,Dexs,Kava,10.859330748739383,0.2868890579000407,-10.26226071377377,0.0
AstroFi,AFI,Dexs,Ethereum,10.831315045628626,0.1147624000890346,-4.039649892908201,0.0
Ada Harvest,-,Yield Aggregator,Cardano,10.682213027243051,6.330723775652686,-8.356093680248307,0.0
cronews,-,SoFi,Cronos,10.679485546383045,0.12492254576687856,-6.061834552924751,0.0
Cryptoo Tech,-,SoFi,Arbitrum,10.597972295222094,-0.029805083208785277,-7.820249775164626,0.0
Crypto Lottery,CL,Luck Games,"Binance, Avalanche, Polygon, Celo, CSC, Kucoin",10.569773320622629,,,0.0
